Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Antigua-et-Barbuda;ATG;Population, femmes;SP.POP.TOTL.FE.IN;28836;29256;29660;30066;30501;30989;31563;32184;32782;33251;33535;33595;33456;33194;32902;32664;32484;32352;32268;32204;32135;32076;32041;32026;31998;31966;31905;31837;31830;31929;32216;32698;33347;34128;34996;35884;36808;37752;38684;39545;40302;40924;41442;41880;42332;42834;43395;44010;44665;45301;45911;46489;47035;47562;48060;48540;49006;49440;49865
Australie;AUS;Population, femmes;SP.POP.TOTL.FE.IN;5088220;5193702;5325562;5432295;5543347;5656031;5789114;5864628;5970763;6098921;6222526;6439091;6561476;6666006;6841178;6931120;7007282;7093888;7184083;7268174;7361338;7480761;7606253;7700516;7786760;7893404;8024250;8148361;8284695;8428823;8557922;8672105;8783194;8874467;8972117;9081705;9199166;9297311;9387978;9489571;9598862;9727041;9846313;9969174;10085124;10216808;10363782;10422152;10626574;10843809;11013858;11172755;11378171;11586371;11770519;11948693;12141288;12349632;12541215
Autriche;AUT;Population, femmes;SP.POP.TOTL.FE.IN;3764742;3783271;3804090;3825938;3848701;3870859;3895084;3921206;3938481;3948984;3959731;3974418;3994602;4013905;4017988;4004755;3995265;3994504;3988996;3979807;3977201;3984469;3984156;3974323;3970488;3968621;3967331;3965915;3967288;3980371;4005232;4039020;4076674;4103160;4112000;4111974;4111896;4111546;4111725;4116125;4123171;4136937;4156033;4175478;4200660;4228324;4247864;4259861;4271066;4279831;4287444;4299034;4315556;4337527;4367372;4411651;4453787;4478340;4493586
Azerbaïdjan;AZE;Population, femmes;SP.POP.TOTL.FE.IN;2032179;2098313;2167451;2237824;2307098;2373550;2436504;2496188;2552919;2607372;2660112;2711181;2760490;2808387;2855316;2901649;2947595;2993372;3039451;3086335;3134435;3183847;3234617;3287044;3341471;3398043;3456734;3517173;3578676;3640328;3658508;3717183;3775017;3833598;3886365;3931827;3972111;4010797;4048629;4082757;4113396;4140710;4165648;4190435;4220362;4257347;4298722;4342687;4430218;4518717;4568408;4624010;4681717;4738628;4794145;4847591;4898038;4942298;4981405
Burundi;BDI;Population, femmes;SP.POP.TOTL.FE.IN;1447147;1474273;1501589;1530015;1560844;1594824;1632847;1674220;1716212;1755069;1788312;1814753;1835862;1855049;1877211;1905893;1942212;1985198;2033757;2085980;2140408;2196699;2255179;2315712;2378274;2442688;2508645;2575566;2642732;2709238;2774305;2838647;2902146;2962378;3016184;3061895;3098080;3127093;3155803;3193513;3246943;3318647;3406886;3508785;3619555;3735553;3856332;3982776;4114010;4249203;4387753;4528952;4672689;4819826;4971725;5129297;5292743;5461521;5634848
Belgique;BEL;Population, femmes;SP.POP.TOTL.FE.IN;4649965;4666854;4687136;4724146;4770961;4816344;4850759;4879547;4900485;4916162;4922923;4933960;4955462;4973208;4990837;5006958;5017268;5024527;5029994;5035067;5040981;5041036;5039669;5039089;5038622;5039540;5040539;5043872;5058896;5076328;5090672;5108986;5129278;5149004;5164627;5175217;5185158;5197588;5208451;5219839;5231510;5248012;5269639;5289562;5310399;5337874;5371633;5409818;5451570;5494816;5544815;5617613;5653189;5679989;5703536;5732314;5753945;5766141;5784464
Bénin;BEN;Population, femmes;SP.POP.TOTL.FE.IN;1274969;1291362;1309214;1328599;1349638;1372416;1396974;1423291;1451276;1480816;1511843;1544340;1578387;1614133;1651784;1691501;1733376;1777412;1823575;1871771;1921979;1974304;2028876;2085679;2144677;2205924;2269185;2334650;2403313;2476472;2554953;2639318;2728984;2822261;2916763;3010797;3103694;3196072;3289032;3384290;3483091;3585781;3691950;3801241;3913011;4026822;4142662;4260766;4381296;4504445;4630423;4759223;4890896;5025695;5163934;5305825;5451500;5600901;5753803
Burkina Faso;BFA;Population, femmes;SP.POP.TOTL.FE.IN;2371306;2409904;2448949;2488945;2530584;2574390;2620626;2669178;2719731;2771769;2824976;2879396;2935315;2993063;3053067;3115698;3180996;3249131;3320782;3396788;3477735;3563969;3655300;3751071;3850303;3952259;4056835;4164253;4274657;4388277;4505344;4625885;4750009;4878022;5010314;5147238;5289059;5435864;5587702;5744499;5906284;6073089;6245194;6423208;6607935;6799929;6999447;7206339;7420314;7640862;7867595;8100459;8339520;8584570;8835392;9091848;9353849;9621412;9894627
Bangladesh;BGD;Population, femmes;SP.POP.TOTL.FE.IN;23053900;23716063;24400379;25115529;25873844;26680744;27547816;28463532;29382858;30245045;31010160;31656789;32207354;32719745;33276526;33937110;34722445;35614666;36587258;37597228;38613304;39627335;40650273;41692023;42768788;43890816;45061191;46270882;47503649;48737258;49955818;51151006;52326999;53495490;54674512;55876131;57101960;58344075;59593267;60836452;62062860;63271239;64460656;65621302;66741556;67813911;68833649;69804541;70738453;71652504;72559740;73463757;74362861;75258419;76150536;77039125;77925128;78809034;79689386
Bulgarie;BGR;Population, femmes;SP.POP.TOTL.FE.IN;3939336;3976377;4010359;4042018;4074265;4103477;4129923;4155722;4185352;4217793;4245873;4269897;4290674;4314163;4344348;4366781;4387293;4411837;4418734;4427017;4447617;4465661;4482492;4497677;4512564;4517163;4520934;4532855;4543458;4496242;4421544;4383745;4342747;4314026;4304962;4290995;4273604;4251833;4227182;4206651;4188546;4108086;4021456;3990835;3961457;3931942;3901938;3872722;3844865;3819570;3794289;3770298;3749213;3729310;3709343;3686934;3662344;3636886;3611859
Bahreïn;BHR;Population, femmes;SP.POP.TOTL.FE.IN;75466;77578;79459;81198;82970;84896;87039;89374;91921;94689;97683;100888;104346;108173;112539;117538;123233;129531;136218;142964;149533;155841;161921;167851;173751;179714;185775;191913;198031;203999;209761;215312;220764;226330;232269;238801;246053;254073;262924;272674;283385;294859;307148;320830;336654;355020;376354;400129;424600;447377;466811;482115;493912;503660;513534;525096;538854;554226;570464
Bahamas;BHS;Population, femmes;SP.POP.TOTL.FE.IN;57147;59788;62625;65595;68613;71604;74552;77440;80242;82926;85473;87859;90102;92226;94257;96238;98160;100038;101936;103911;106027;108321;110760;113275;115775;118162;120409;122546;124649;126811;129091;131535;134113;136741;139309;141749;144024;146175;148297;150495;152873;155430;158126;160979;163971;167081;170334;173699;177030;180152;182932;185309;187329;189109;190819;192595;194450;196371;198316
Bosnie-Herzégovine;BIH;Population, femmes;SP.POP.TOTL.FE.IN;1643269;1673315;1704116;1734924;1764751;1792889;1818987;1843262;1866269;1888851;1911608;1934798;1958177;1981264;2003342;2023935;2042652;2059799;2076354;2093724;2112782;2133162;2154090;2175335;2196605;2217186;2238624;2259835;2274401;2273873;2252933;2208309;2143849;2070190;2002214;1950643;1919216;1904836;1903043;1906473;1909565;1911253;1912944;1914268;1915273;1915816;1915827;1914511;1910274;1901141;1885938;1863815;1835725;1804561;1774340;1748018;1726542;1709258;1695554
Bélarus;BLR;Population, femmes;SP.POP.TOTL.FE.IN;4493923;4525747;4561951;4600978;4641262;4681259;4722065;4764719;4807502;4848641;4886426;4921849;4956000;4987348;5014389;5035636;5054016;5076730;5104947;5131832;5159086;5191117;5223055;5255668;5287988;5318687;5350233;5381213;5391487;5403171;5410431;5411991;5424062;5437458;5432050;5414576;5395314;5370362;5342670;5319112;5294875;5270698;5241939;5211247;5181953;5152390;5126055;5107216;5093492;5085090;5078305;5069597;5064366;5063837;5066924;5073849;5079571;5077542;5069504
Belize;BLZ;Population, femmes;SP.POP.TOTL.FE.IN;46603;47906;49226;50596;52041;53549;55148;56808;58480;60061;61499;62789;63940;64977;65922;66797;67589;68326;69112;70119;71425;73080;75046;77243;79544;81845;84151;86488;88791;90964;92981;94765;96371;98041;100077;102721;106060;110001;114304;118650;122796;126661;130318;133848;137424;141137;145007;148992;153039;157107;161137;165122;169083;173012;176919;180795;184648;188476;192273
Bermudes;BMU;Population, femmes;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivie;BOL;Population, femmes;SP.POP.TOTL.FE.IN;1844836;1880082;1916304;1953575;1991981;2031623;2072478;2114551;2157920;2202688;2248926;2296604;2345690;2396192;2448107;2501415;2556209;2612398;2669525;2727034;2784523;2841794;2899072;2956937;3016201;3077455;3140869;3206299;3273632;3342636;3413136;3485092;3558490;3633237;3709214;3786288;3864421;3943487;4023223;4103291;4183447;4263565;4343639;4423767;4504106;4584780;4665755;4746982;4828484;4910311;4992484;5075026;5157863;5240835;5323698;5406287;5488501;5570366;5651980
Brésil;BRA;Population, femmes;SP.POP.TOTL.FE.IN;36243374;37305138;38403331;39530302;40675269;41829992;42993017;44165454;45344920;46529309;47717818;48908437;50103038;51309715;52539488;53800467;55093275;56415645;57768907;59153885;60569595;62017359;63492696;64981385;66464698;67928648;69367765;70783727;72178735;73557938;74925447;76278925;77616877;78945484;80273001;81604534;82942144;84281595;85613792;86926089;88208706;89459433;90679050;91864664;93013716;94125013;95196583;96229935;97231896;98211958;99177367;100129351;101066963;101992472;102907987;103814248;104712865;105601740;106473088
Barbade;BRB;Population, femmes;SP.POP.TOTL.FE.IN;127590;127784;127786;127643;127441;127221;127017;126833;126700;126645;126678;126817;127061;127417;127912;128537;129313;130223;131159;132009;132686;133154;133437;133598;133721;133893;134112;134367;134668;135010;135396;135829;136324;136845;137408;137999;138603;139228;139863;140477;141061;141597;142103;142594;143114;143676;144307;144980;145651;146251;146745;147110;147359;147526;147656;147777;147895;148008;148116
Brunéi Darussalam;BRN;Population, femmes;SP.POP.TOTL.FE.IN;39539;41413;43317;45284;47353;49572;51934;54427;57052;59824;62738;65806;69014;72252;75383;78304;80982;83442;85804;88217;90791;93565;96528;99610;102751;105894;109044;112222;115461;118798;122278;125872;129572;133423;137479;141769;146325;151065;155817;160333;164416;168021;171181;173951;176429;178684;180728;182567;184300;186049;187921;189944;192123;194420;196752;199083;201419;203749;206057
Bhoutan;BTN;Population, femmes;SP.POP.TOTL.FE.IN;109475;112253;115100;118084;121324;124870;128774;133000;137447;141987;146529;151034;155534;160078;164755;169631;174723;180004;185425;190923;196449;201899;207272;212761;218646;225049;232208;239917;247419;253663;257991;259984;260053;259258;259115;260704;264422;269869;276380;282921;288734;293643;297891;301621;305111;308580;312014;315352;318645;321988;325419;328979;332656;336414;340165;343863;347497;351066;354585
Botswana;BWA;Population, femmes;SP.POP.TOTL.FE.IN;258819;263826;269360;275328;281562;287958;294529;301396;308728;316742;325611;335323;345886;357517;370478;384922;401021;418626;437111;455643;473630;490712;507114;523515;540928;560024;581058;603637;626942;649826;671468;691561;710335;728136;745512;762875;780353;797788;815025;831781;847901;863290;878122;892841;908059;924208;941548;959936;978826;997439;1015241;1031975;1047927;1063848;1080795;1099500;1120221;1142634;1166077
République centrafricaine;CAF;Population, femmes;SP.POP.TOTL.FE.IN;762234;774694;787878;801886;816792;832632;849587;867542;885809;903470;919944;934968;948944;962829;977968;995357;1015108;1037019;1061350;1088347;1118034;1150933;1186690;1223461;1258764;1290909;1318962;1343746;1367562;1393702;1424481;1460653;1501302;1545078;1589883;1634149;1677485;1720195;1762306;1804000;1845401;1886114;1925841;1964886;2003715;2042503;2081973;2121639;2159048;2190889;2215126;2230664;2239127;2244482;2252277;2266605;2288849;2318150;2353556
Canada;CAN;Population, femmes;SP.POP.TOTL.FE.IN;8853955;9042518;9224086;9410357;9601660;9787360;9979536;10167103;10337411;10483061;10634444;10956102;11087075;11226906;11389588;11563967;11726499;11875947;12007256;12138907;12307456;12469687;12627160;12759652;12886791;13010445;13144863;13322786;13499720;13747415;13960202;14139654;14313548;14477171;14640956;14795775;14951719;15099788;15223145;15344448;15485188;15651822;15820650;15961652;16108836;16258927;16420787;16577534;16754826;16945066;17133868;17303497;17494958;17683847;17864828;17999309;18202997;18418770;18673975
Europe centrale et les pays baltes;CEB;Population, femmes;SP.POP.TOTL.FE.IN;47159241;47553903;47921811;48318981;48742410;49092113;49435478;49880749;50300099;50659404;50917900;51161726;51518759;51893131;52305394;52767542;53229393;53655153;54017239;54332759;54653268;54968098;55266332;55554567;55829027;56094064;56348744;56585848;56794561;56865912;56853653;56738122;56583482;56578476;56599434;56548650;56454106;56375103;56305326;56239007;55949119;55570144;55236846;55088854;54959586;54826957;54700453;54506222;54315700;54209377;54004628;53861514;53718055;53581251;53447753;53307372;53158816;53018560;52896369
Suisse;CHE;Population, femmes;SP.POP.TOTL.FE.IN;2747151;2799549;2868550;2927447;2973193;3004820;3033632;3068866;3105531;3139086;3161046;3177743;3202891;3228022;3247167;3247553;3230916;3221914;3223974;3231790;3245344;3263094;3281459;3294309;3304697;3317869;3333788;3353427;3376891;3403194;3437405;3479955;3518090;3550005;3578255;3602110;3617905;3626449;3636992;3654041;3674151;3696880;3724183;3750766;3774846;3796494;3816924;3846987;3891454;3935497;3971919;4011709;4050081;4092758;4139234;4183323;4226492;4263869;4292976
Îles Anglo-Normandes;CHI;Population, femmes;SP.POP.TOTL.FE.IN;56460;56935;57448;58003;58581;59178;59773;60381;60989;61604;62214;62834;63454;64044;64559;64968;65269;65477;65638;65835;66122;66497;66971;67516;68124;68776;69487;70242;70990;71680;72274;72728;73070;73347;73628;73961;74376;74851;75337;75780;76144;76393;76558;76714;76953;77356;77943;78687;79514;80322;81044;81627;82107;82559;83058;83670;84409;85255;86152
Chili;CHL;Population, femmes;SP.POP.TOTL.FE.IN;4064782;4154228;4244824;4335704;4425771;4514243;4600743;4685497;4769105;4852515;4936413;5020961;5105981;5191447;5277232;5363268;5449789;5536900;5624238;5711273;5797754;5883431;5968758;6055038;6144005;6236896;6333956;6434743;6538875;6645737;6754678;6865680;6978337;7091103;7202006;7309594;7413350;7513441;7610018;7703458;7794187;7882067;7967280;8051014;8134815;8219842;8306861;8395788;8485913;8576061;8665533;8752527;8837483;8924481;9019140;9124554;9243812;9373185;9500747
Chine;CHN;Population, femmes;SP.POP.TOTL.FE.IN;323234247;320153437;322953588;331140640;339068212;347401432;357394687;366879507;376753699;387362696;398315770;409475913;419696503;429398133;438355316;446155493;453096478;459292487;465460554;471700516;477656979;483835348;491049203;498238544;504855230;511798492;519471732;527858967;536408672;544679377;552721134;560312586;567224558;573790071;580322015;586672507;592868311;598982994;604764109;610004104;614775825;619165993;623205125;626956157;630545489;634130240;637560457;640793072;644001246;647159372;650275748;653422748;656677290;660023537;663493378;667009225;670780903;674707818;677972245
Côte d'Ivoire;CIV;Population, femmes;SP.POP.TOTL.FE.IN;1704425;1763639;1827826;1896063;1966961;2039700;2113876;2190346;2271079;2358729;2455245;2561343;2676512;2799945;2930317;3066598;3208505;3356245;3509760;3669149;3834354;4005406;4181970;4363099;4547632;4734746;4923751;5114933;5309621;5509771;5716649;5930212;6149520;6373632;6601264;6831130;7063641;7298169;7531156;7758050;7975900;8183406;8382363;8576949;8773074;8975373;9185252;9402483;9628035;9862515;10106433;10360528;10625267;10900328;11185036;11478827;11781680;12093605;12414061
Cameroun;CMR;Population, femmes;SP.POP.TOTL.FE.IN;2630070;2683962;2740645;2800140;2862364;2927341;2995169;3066053;3140166;3217679;3298782;3383611;3472351;3565217;3662452;3764284;3870837;3982233;4098748;4220699;4348289;4481488;4620223;4764633;4914880;5070945;5232907;5400364;5572209;5747026;5923730;6102088;6282243;6463955;6647066;6831602;7017469;7205070;7395617;7590731;7791678;7998955;8212672;8433247;8661010;8896230;9139124;9389809;9648218;9914160;10187447;10468052;10755869;11050422;11351126;11657492;11969331;12286560;12608998
Congo, République démocratique du;COD;Population, femmes;SP.POP.TOTL.FE.IN;7964764;8155714;8353725;8560399;8777874;9007549;9250456;9505720;9770356;10040202;10312460;10585336;10860075;11140571;11432420;11739299;12064130;12405020;12755210;13105144;13448749;13784960;14118608;14456885;14809883;15186034;15583031;16001399;16455195;16962297;17532879;18178343;18888877;19627636;20343779;21002521;21589559;22120545;22627600;23157970;23746687;24403751;25121034;25893607;26710613;27564086;28454731;29386782;30359388;31371536;32422237;33510550;34635679;35796892;36993481;38224578;39489785;40787890;42116216
Congo, République du;COG;Population, femmes;SP.POP.TOTL.FE.IN;517666;530457;543873;557928;572645;588031;604100;620859;638349;656603;675636;695485;716120;737485;759506;782116;805274;829012;853391;878480;904340;931022;958478;986611;1015267;1044335;1073798;1103741;1134293;1165641;1197939;1231235;1265573;1300991;1337579;1375387;1414589;1455226;1497161;1540144;1584086;1628637;1674013;1721315;1772069;1827170;1887301;1951728;2018344;2084228;2147324;2206805;2263418;2318676;2374829;2433523;2495203;2559386;2625622
Colombie;COL;Population, femmes;SP.POP.TOTL.FE.IN;8105503;8363593;8629217;8900702;9175971;9453275;9732238;10012422;10291950;10568663;10841183;11108615;11371784;11633272;11896731;12164989;12438743;12717663;13002217;13292672;13589107;13892093;14201581;14516212;14834100;15153887;15474638;15796709;16121553;16451308;16787266;17129709;17477267;17827687;18177880;18525387;18869052;19208734;19544199;19875546;20202660;20525355;20842744;21153272;21455010;21746635;22029129;22303334;22567930;22821214;23063042;23288805;23501281;23716367;23955439;24231886;24555030;24915291;25283976
Comores;COM;Population, femmes;SP.POP.TOTL.FE.IN;96045;97552;99073;100649;102325;104151;106158;108348;110667;113023;115374;117655;119940;122413;125351;128928;133246;138194;143535;148907;154060;158905;163517;168031;172644;177507;182649;188008;193577;199321;205210;211251;217443;223751;230146;236593;243097;249647;256244;262865;269505;276166;282854;289618;296523;303614;310901;318384;326071;333967;342067;350386;358917;367613;376437;385341;394321;403369;412488
Cabo Verde;CPV;Population, femmes;SP.POP.TOTL.FE.IN;107055;108933;111322;114211;117538;121210;125309;129768;134158;137910;140661;142208;142734;142658;142629;143103;144214;145834;147878;150160;152550;155083;157793;160573;163266;165776;168016;170049;172137;174624;177760;181615;186084;190958;195939;200785;205437;209916;214200;218288;222174;225860;229313;232494;235317;237745;239750;241388;242885;244548;246583;249090;251991;255185;258454;261671;264794;267872;270899
Costa Rica;CRI;Population, femmes;SP.POP.TOTL.FE.IN;654548;679510;705342;731720;758216;784503;810513;836263;861710;886812;911586;935994;960128;984395;1009326;1035323;1062541;1090930;1120493;1151172;1182888;1215708;1249657;1284577;1320252;1356540;1393302;1430574;1468591;1507651;1547966;1589485;1631972;1675203;1718867;1762674;1806590;1850435;1893466;1934771;1973723;2009976;2043744;2075608;2106442;2136917;2167183;2197125;2226714;2255890;2284599;2312869;2340767;2368300;2395477;2422275;2448701;2474720;2500213
Petits états des Caraïbes;CSS;Population, femmes;SP.POP.TOTL.FE.IN;2094375;2135833;2177159;2217459;2255516;2290457;2321937;2350279;2376643;2402604;2429340;2457332;2486276;2515641;2544548;2572449;2598998;2624641;2650151;2676749;2705182;2735956;2768544;2801642;2833311;2862248;2887829;2910615;2931907;2953560;2976953;3002547;3029846;3057860;3085171;3110773;3134357;3156337;3177388;3198548;3220489;3243499;3267297;3291549;3315730;3339458;3362567;3385276;3407880;3430759;3454278;3478497;3503216;3528142;3552849;3576971;3600425;3623218;3645323
Cuba;CUB;Population, femmes;SP.POP.TOTL.FE.IN;3492805;3568801;3650519;3736028;3822480;3907745;3990807;4071965;4151839;4231579;4311780;4392743;4473390;4551276;4623133;4686707;4741427;4788208;4828211;4863258;4895029;4923240;4948317;4973446;5002705;5038768;5083360;5135229;5190431;5243272;5289671;5328146;5359996;5387329;5413489;5440810;5469797;5499385;5528514;5555565;5579329;5599856;5617532;5631842;5642190;5648369;5649798;5647115;5642857;5640437;5642214;5649260;5660655;5674334;5687214;5697029;5703179;5706301;5706808
Curacao;CUW;Population, femmes;SP.POP.TOTL.FE.IN;62262;63095;64470;65955;67344;68585;69391;70150;71233;72377;73492;74889;75130;74819;75643;76118;76320;76405;75881;75682;75836;76204;77035;77654;78153;78659;78761;78279;77290;76257;75632;75299;75230;75622;75973;76405;77174;77661;76473;73898;71010;68467;68530;69932;71178;73133;75259;77056;78357;79155;80376;81662;82412;83375;84504;85606;86480;86707;86445
Îles Caïmans;CYM;Population, femmes;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chypre;CYP;Population, femmes;SP.POP.TOTL.FE.IN;291264;293057;293867;294179;294674;295854;297872;300590;303789;307141;310387;313470;316463;319408;322385;325450;328677;332012;335229;338042;340276;341814;342860;343879;345507;348233;352199;357277;363390;370348;377985;386289;395247;404634;414160;423594;432878;442018;450927;459548;467862;475703;483115;490494;498401;507185;517084;527830;538699;548669;557032;563477;568305;572061;575618;579591;584158;589132;594288
République tchèque;CZE;Population, femmes;SP.POP.TOTL.FE.IN;4932700;4923390;4940610;4961997;4990457;5018309;5043786;5066446;5085826;5102891;5087699;5073862;5095260;5122336;5154762;5189243;5222376;5252105;5279047;5303422;5308115;5305002;5311261;5315022;5317592;5320592;5322844;5325258;5329190;5331905;5317169;5303686;5308155;5312557;5313307;5308896;5301524;5294523;5288255;5281796;5266235;5246228;5236213;5234396;5234198;5237526;5245284;5267484;5302056;5324016;5333376;5340831;5346869;5348559;5354302;5364266;5373114;5385332;5400916
Allemagne;DEU;Population, femmes;SP.POP.TOTL.FE.IN;38935679;39170711;39433964;39709258;39941576;40206208;40478948;40611715;40749781;41037685;41141928;41189081;41362707;41471944;41467383;41291298;41090324;40970558;40907296;40899732;40962565;41008045;40955566;40832849;40666985;40536942;40499549;40492128;40574095;40815261;41104568;41353545;41627987;41868773;41982945;42073970;42161317;42187593;42158403;42151293;42176244;42217345;42260203;42256846;42221838;42172464;42099593;42017960;41912739;41781451;41692491;40903005;40956600;41043963;41187119;41511610;41808130;41919970;42000374
Djibouti;DJI;Population, femmes;SP.POP.TOTL.FE.IN;42062;44505;47365;50590;54080;57778;61735;65995;70531;75256;80170;85094;90113;95852;103135;112484;124363;138385;153162;166755;177872;185683;190800;195100;201273;211109;225492;243480;262793;280195;293436;301620;305678;307346;309239;313217;319773;328229;337908;347725;356821;365246;373212;380253;385825;389625;391328;391250;390537;390779;393104;397941;404927;413397;422307;430879;438938;446702;454210
Dominique;DMA;Population, femmes;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Danemark;DNK;Population, femmes;SP.POP.TOTL.FE.IN;2307409;2324007;2342694;2361695;2380857;2399304;2418014;2436154;2449952;2462751;2481117;2498855;2514189;2530848;2544259;2553213;2561213;2570770;2580308;2588161;2592761;2593418;2592801;2592130;2591623;2593189;2596811;2599910;2600721;2601671;2605214;2611254;2619128;2627058;2635094;2647983;2662105;2672273;2681113;2689192;2697501;2706617;2714812;2721780;2728329;2735229;2743473;2754784;2770023;2783770;2794956;2805142;2814288;2824671;2837901;2857267;2879322;2897965;2912704
